dataset_name,performance,time_used
abalone,2.23046,469
airbnb_melbourne,0.36296,329
airlines,0.64284,155
bioresponse,-9999,-9999
camo_sem_seg,-9999,-9999
cd18,-0.33546,113
climate_fever,-9999,-9999
covertype,0.86009,182
electricity_hourly,-9999,-9999
europeanflooddepth,0.65877,1654
fiqabeir,-9999,-9999
gnad10,0.58457,309
ham10000,0.84738,8672
hateful_meme,0.44169,637
isic2017,-9999,-9999
kick_starter_funding,-9999,-9999
memotion,-9999,-9999
mldoc,0.92494,195
nn5_daily_without_missing,-9999,-9999
petfinder,0.38964,171
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,-9999,-9999
yolanda,9.03249,172
