dataset_name,performance,time_used
abalone,2.18247,483
airbnb_melbourne,-9999,-9999
airlines,-9999,-9999
bioresponse,0.86802,434
camo_sem_seg,-9999,-9999
cd18,-9999,-9999
climate_fever,-9999,-9999
covertype,-9999,-9999
electricity_hourly,-9999,-9999
europeanflooddepth,0.72174,2170
fiqabeir,-9999,-9999
gnad10,-9999,-9999
ham10000,0.80861,1492
hateful_meme,0.55729,2672
isic2017,-9999,-9999
kick_starter_funding,-9999,-9999
memotion,0.47114,1050
mldoc,-9999,-9999
nn5_daily_without_missing,-9999,-9999
petfinder,-9999,-9999
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,1.05369,2698
women_clothing_review,-9999,-9999
yolanda,-9999,-9999
