metric,mean,std
abalone_performance,2.1551533333333333,0.042434465813638945
abalone_time_used,387.3333333333333,109.52726702617126
airbnb_melbourne_performance,0.39429,0.0
airbnb_melbourne_time_used,174.0,0.0
airlines_performance,-9999.0,-9999.0
airlines_time_used,-9999.0,-9999.0
bioresponse_performance,0.872395,0.004375000000000018
bioresponse_time_used,683.5,249.5
camo_sem_seg_performance,-9999.0,-9999.0
camo_sem_seg_time_used,-9999.0,-9999.0
cd18_performance,-9999.0,-9999.0
cd18_time_used,-9999.0,-9999.0
climate_fever_performance,-9999.0,-9999.0
climate_fever_time_used,-9999.0,-9999.0
covertype_performance,0.87967,0.0
covertype_time_used,197.0,0.0
electricity_hourly_performance,-9999.0,-9999.0
electricity_hourly_time_used,-9999.0,-9999.0
europeanflooddepth_performance,0.70729,0.014450000000000018
europeanflooddepth_time_used,3267.5,1097.5
fiqabeir_performance,-9999.0,-9999.0
fiqabeir_time_used,-9999.0,-9999.0
gnad10_performance,0.902645,0.005155000000000021
gnad10_time_used,6862.0,3950.0
ham10000_performance,0.8103400000000001,0.0017299999999999538
ham10000_time_used,2665.5,1173.5
hateful_meme_performance,0.5120549999999999,0.04523499999999997
hateful_meme_time_used,2289.5,382.5
isic2017_performance,-9999.0,-9999.0
isic2017_time_used,-9999.0,-9999.0
kick_starter_funding_performance,-9999.0,-9999.0
kick_starter_funding_time_used,-9999.0,-9999.0
memotion_performance,0.47114,0.0
memotion_time_used,1050.0,0.0
mldoc_performance,0.96457,0.0
mldoc_time_used,10801.0,0.0
nn5_daily_without_missing_performance,-9999.0,-9999.0
nn5_daily_without_missing_time_used,-9999.0,-9999.0
petfinder_performance,0.33612,0.0
petfinder_time_used,652.0,0.0
road_segmentation_performance,-9999.0,-9999.0
road_segmentation_time_used,-9999.0,-9999.0
rvl_cdip_performance,-9999.0,-9999.0
rvl_cdip_time_used,-9999.0,-9999.0
solar_10_minutes_performance,-1.05369,0.0
solar_10_minutes_time_used,2698.0,0.0
women_clothing_review_performance,-9999.0,-9999.0
women_clothing_review_time_used,-9999.0,-9999.0
yolanda_performance,-9999.0,-9999.0
yolanda_time_used,-9999.0,-9999.0
success_rate,0.25333333333333335,0.018856180831641284
success_rate,0.25333333333333335,0.018856180831641284
