metric,mean,std
abalone_performance,-9999.0,-9999.0
abalone_time_used,-9999.0,-9999.0
airbnb_melbourne_performance,0.31653385463586275,0.05308536003172351
airbnb_melbourne_time_used,2153.3333333333335,725.4811430277764
airlines_performance,-9999.0,-9999.0
airlines_time_used,-9999.0,-9999.0
bioresponse_performance,-9999.0,-9999.0
bioresponse_time_used,-9999.0,-9999.0
camo_sem_seg_performance,-9999.0,-9999.0
camo_sem_seg_time_used,-9999.0,-9999.0
cd18_performance,-1.83968,0.0
cd18_time_used,1972.0,0.0
climate_fever_performance,-9999.0,-9999.0
climate_fever_time_used,-9999.0,-9999.0
covertype_performance,0.9410492930061476,0.0
covertype_time_used,9284.0,0.0
electricity_hourly_performance,-9999.0,-9999.0
electricity_hourly_time_used,-9999.0,-9999.0
europeanflooddepth_performance,0.5826972010178118,0.0
europeanflooddepth_time_used,2017.0,0.0
fiqabeir_performance,-9999.0,-9999.0
fiqabeir_time_used,-9999.0,-9999.0
gnad10_performance,0.1051878090050108,0.0
gnad10_time_used,11281.0,0.0
ham10000_performance,-9999.0,-9999.0
ham10000_time_used,-9999.0,-9999.0
hateful_meme_performance,0.35931416570771,0.022734165707710002
hateful_meme_time_used,1838.5,106.5
isic2017_performance,-9999.0,-9999.0
isic2017_time_used,-9999.0,-9999.0
kick_starter_funding_performance,0.2367758186397985,0.0
kick_starter_funding_time_used,2935.0,0.0
memotion_performance,-9999.0,-9999.0
memotion_time_used,-9999.0,-9999.0
mldoc_performance,-9999.0,-9999.0
mldoc_time_used,-9999.0,-9999.0
nn5_daily_without_missing_performance,-9999.0,-9999.0
nn5_daily_without_missing_time_used,-9999.0,-9999.0
petfinder_performance,0.38799,0.0
petfinder_time_used,1881.0,0.0
road_segmentation_performance,-9999.0,-9999.0
road_segmentation_time_used,-9999.0,-9999.0
rvl_cdip_performance,-9999.0,-9999.0
rvl_cdip_time_used,-9999.0,-9999.0
solar_10_minutes_performance,-9999.0,-9999.0
solar_10_minutes_time_used,-9999.0,-9999.0
women_clothing_review_performance,-9999.0,-9999.0
women_clothing_review_time_used,-9999.0,-9999.0
yolanda_performance,-9999.0,-9999.0
yolanda_time_used,-9999.0,-9999.0
success_rate,0.14666666666666667,0.018856180831641273
success_rate,0.14666666666666667,0.018856180831641273
