dataset_name,performance,time_used
abalone,2.08725,353
airbnb_melbourne,0.41438,3054
airlines,-9999,-9999
bioresponse,0.79685,550
camo_sem_seg,-9999,-9999
cd18,0.44537,506
climate_fever,-9999,-9999
covertype,-9999,-9999
electricity_hourly,-9999,-9999
europeanflooddepth,-9999,-9999
fiqabeir,-9999,-9999
gnad10,0.84324,2574
ham10000,0.5692,1716
hateful_meme,-9999,-9999
isic2017,-9999,-9999
kick_starter_funding,0.43752,4400
memotion,-9999,-9999
mldoc,0.94786,5422
nn5_daily_without_missing,-9999,-9999
petfinder,-9999,-9999
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,-9999,-9999
yolanda,8.54032,8669
