metric,mean,std
abalone_performance,2.08725,0.0
abalone_time_used,370.6666666666667,13.27487183449325
airbnb_melbourne_performance,0.42112000000000005,0.006739999999999996
airbnb_melbourne_time_used,3455.5,401.5
airlines_performance,0.69359,0.037739999999999996
airlines_time_used,5288.5,1349.5
bioresponse_performance,0.79685,0.0
bioresponse_time_used,1331.5,781.5
camo_sem_seg_performance,-9999.0,-9999.0
camo_sem_seg_time_used,-9999.0,-9999.0
cd18_performance,-0.206045,0.651415
cd18_time_used,783.5,277.5
climate_fever_performance,-9999.0,-9999.0
climate_fever_time_used,-9999.0,-9999.0
covertype_performance,0.975105,0.0006749999999999812
covertype_time_used,8201.5,567.5
electricity_hourly_performance,-9999.0,-9999.0
electricity_hourly_time_used,-9999.0,-9999.0
europeanflooddepth_performance,0.69492,0.0
europeanflooddepth_time_used,738.0,0.0
fiqabeir_performance,-9999.0,-9999.0
fiqabeir_time_used,-9999.0,-9999.0
gnad10_performance,0.8455533333333335,0.0032715473742897867
gnad10_time_used,3159.3333333333335,413.89397461454087
ham10000_performance,0.5692,0.0
ham10000_time_used,1709.5,6.5
hateful_meme_performance,0.56916,0.03815999999999997
hateful_meme_time_used,3591.0,1531.0
isic2017_performance,-9999.0,-9999.0
isic2017_time_used,-9999.0,-9999.0
kick_starter_funding_performance,0.41033000000000003,0.05985706697347163
kick_starter_funding_time_used,3697.0,497.9886210212706
memotion_performance,-9999.0,-9999.0
memotion_time_used,-9999.0,-9999.0
mldoc_performance,0.9480166666666667,0.0005381656085465017
mldoc_time_used,5555.666666666667,1136.0112479881332
nn5_daily_without_missing_performance,-9999.0,-9999.0
nn5_daily_without_missing_time_used,-9999.0,-9999.0
petfinder_performance,0.396895,0.008054999999999979
petfinder_time_used,3289.5,65.5
road_segmentation_performance,-9999.0,-9999.0
road_segmentation_time_used,-9999.0,-9999.0
rvl_cdip_performance,-9999.0,-9999.0
rvl_cdip_time_used,-9999.0,-9999.0
solar_10_minutes_performance,-9999.0,-9999.0
solar_10_minutes_time_used,-9999.0,-9999.0
women_clothing_review_performance,0.6133649999999999,0.11030500000000004
women_clothing_review_time_used,3734.5,1397.5
yolanda_performance,8.53554,0.0033799704140718583
yolanda_time_used,6691.0,1892.2797538066793
success_rate,0.45333333333333337,0.08219218670625304
success_rate,0.45333333333333337,0.08219218670625304
