dataset_name,performance,time_used
abalone,2.134799953002126,112
airbnb_melbourne,0.4263889902522245,1041
airlines,0.655853413127224,1262
bioresponse,0.8012995896032832,167
camo_sem_seg,0.8427898131680243,6358
cd18,0.445374579488168,261
climate_fever,0.4787187839305107,3719
covertype,0.976111345349352,4556
electricity_hourly,1.3934246845667495,2779
europeanflooddepth,0.6901408450704225,509
fiqabeir,0.5051871953492323,889
gnad10,0.8286577514441992,722
ham10000,0.7789841537054483,1049
hateful_meme,0.5996978851963746,628
isic2017,0.7582204122228898,8440
kick_starter_funding,0.4348586417953949,1027
memotion,0.51441647597254,3807
mldoc,0.9481145505564272,2836
petfinder,0.3970160017292427,791
rvl_cdip,0.8715210005081131,2868
yolanda,8.533146214219686,1902
women_clothing_review,0.7505504488945007,935
nn5_daily_without_missing,-9999,-9999
road_segmentation,-9999,-9999
solar_10_minutes,-9999,-9999
