dataset_name,performance,time_used
abalone,2.134799953002126,265
airbnb_melbourne,0.4278593530745831,1086
airlines,0.655853413127224,1215
bioresponse,0.7968536251709987,197
camo_sem_seg,0.8398091581191902,6320
cd18,0.5858349372186571,526
climate_fever,0.4754288816503804,6657
covertype,0.9762629975145496,1948
electricity_hourly,1.3934244455817253,781
europeanflooddepth,0.6901408450704225,475
fiqabeir,0.5146258833758832,192
gnad10,0.8286577514441992,690
ham10000,0.7789841537054483,669
hateful_meme,0.5996978851963746,608
kick_starter_funding,0.4375178181127055,1226
memotion,0.51441647597254,2462
mldoc,0.9463093313748272,4681
nn5_daily_without_missing,0.764843560738741,211
petfinder,0.3970160017292427,757
road_segmentation,0.6009346349280082,4903
rvl_cdip,0.8712308029848885,2570
women_clothing_review,0.7505504488945007,957
yolanda,8.533146214219686,2010
isic2017,-9999,-9999
solar_10_minutes,-9999,-9999
