dataset_name,performance,time_used
abalone,2.21769,165
airbnb_melbourne,0.39775,329
airlines,0.6422,422
bioresponse,0.87688,659
camo_sem_seg,-9999,-9999
cd18,-0.63429,223
climate_fever,-9999,-9999
covertype,0.88666,688
electricity_hourly,1.7527,848
europeanflooddepth,0.58333,335
fiqabeir,-9999,-9999
gnad10,0.88321,714
ham10000,0.67106,6045
hateful_meme,0.38197,3521
isic2017,-9999,-9999
kick_starter_funding,0.44183,797
memotion,-9999,-9999
mldoc,0.96116,1524
nn5_daily_without_missing,-9999,-9999
petfinder,0.35675,338
road_segmentation,-9999,-9999
rvl_cdip,0.88617,4829
solar_10_minutes,-9999,-9999
women_clothing_review,0.6174,225
yolanda,8.89237,290
