dataset_name,performance,time_used
abalone,2.231520712203948,93
airbnb_melbourne,0.3878007578064888,108
airlines,0.6122894829258068,177
bioresponse,0.7998461012311903,90
cd18,-1.6849126283411962,136
climate_fever,0.2330184581976109,165
covertype,0.9552966196363064,90
europeanflooddepth,-9999,-9999
gnad10,0.8454988775731943,123
ham10000,0.4514515843512126,80
hateful_meme,0.453781512605042,110
kick_starter_funding,0.3624342599549211,72
memotion,0.7018020594965675,95
mldoc,0.7883552360251032,144
petfinder,0.3962508866930075,108
women_clothing_review,0.0285644835412456,157
yolanda,9.598088033170926,86
camo_sem_seg,-9999,-9999
electricity_hourly,-9999,-9999
fiqabeir,-9999,-9999
isic2017,-9999,-9999
nn5_daily_without_missing,-9999,-9999
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
