metric,mean,std
abalone_performance,2.2304628116305785,0.0
abalone_time_used,47.0,0.0
airbnb_melbourne_performance,-9999.0,-9999.0
airbnb_melbourne_time_used,-9999.0,-9999.0
airlines_performance,-9999.0,-9999.0
airlines_time_used,-9999.0,-9999.0
bioresponse_performance,0.79195,0.0
bioresponse_time_used,30.0,0.0
camo_sem_seg_performance,-9999.0,-9999.0
camo_sem_seg_time_used,-9999.0,-9999.0
cd18_performance,-0.9442859569247699,0.5327659569247699
cd18_time_used,129.0,44.0
climate_fever_performance,-9999.0,-9999.0
climate_fever_time_used,-9999.0,-9999.0
covertype_performance,0.9552966196363064,0.0
covertype_time_used,48.0,0.0
electricity_hourly_performance,-9999.0,-9999.0
electricity_hourly_time_used,-9999.0,-9999.0
europeanflooddepth_performance,-9999.0,-9999.0
europeanflooddepth_time_used,-9999.0,-9999.0
fiqabeir_performance,-9999.0,-9999.0
fiqabeir_time_used,-9999.0,-9999.0
gnad10_performance,0.8181913759686122,0.02848122782936613
gnad10_time_used,135.0,24.0
ham10000_performance,0.4842,0.0
ham10000_time_used,36.0,0.0
hateful_meme_performance,-9999.0,-9999.0
hateful_meme_time_used,-9999.0,-9999.0
isic2017_performance,-9999.0,-9999.0
isic2017_time_used,-9999.0,-9999.0
kick_starter_funding_performance,-9999.0,-9999.0
kick_starter_funding_time_used,-9999.0,-9999.0
memotion_performance,0.5321510297482839,0.0
memotion_time_used,92.0,0.0
mldoc_performance,0.32306770085147923,0.22946415532367911
mldoc_time_used,99.5,14.5
nn5_daily_without_missing_performance,-9999.0,-9999.0
nn5_daily_without_missing_time_used,-9999.0,-9999.0
petfinder_performance,-9999.0,-9999.0
petfinder_time_used,-9999.0,-9999.0
road_segmentation_performance,-9999.0,-9999.0
road_segmentation_time_used,-9999.0,-9999.0
rvl_cdip_performance,-9999.0,-9999.0
rvl_cdip_time_used,-9999.0,-9999.0
solar_10_minutes_performance,-9999.0,-9999.0
solar_10_minutes_time_used,-9999.0,-9999.0
women_clothing_review_performance,-9999.0,-9999.0
women_clothing_review_time_used,-9999.0,-9999.0
yolanda_performance,-9999.0,-9999.0
yolanda_time_used,-9999.0,-9999.0
success_rate,0.14666666666666667,0.03771236166328254
success_rate,0.14666666666666667,0.03771236166328254
