dataset_name,performance,time_used
abalone,-9999,-9999
airbnb_melbourne,-9999,-9999
airlines,-9999,-9999
bioresponse,0.7934906520747834,4
camo_sem_seg,-9999,-9999
cd18,-9999,-9999
climate_fever,-9999,-9999
covertype,-9999,-9999
electricity_hourly,-9999,-9999
europeanflooddepth,-9999,-9999
fiqabeir,-9999,-9999
gnad10,-9999,-9999
ham10000,-9999,-9999
hateful_meme,-9999,-9999
isic2017,-9999,-9999
kick_starter_funding,-9999,-9999
memotion,-9999,-9999
mldoc,0.9485730580122854,1265
nn5_daily_without_missing,4.682116055780269,6
petfinder,0.3501352435230807,3
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,-9999,-9999
yolanda,-9999,-9999
