dataset_name,performance,time_used
airbnb_melbourne,0.3136983543154965,16
bioresponse,0.7934906520747834,4
cd18,-1.6150263681370132,3
electricity_hourly,11.661700401096942,10
petfinder,0.2070558719514104,12
abalone,-9999,-9999
airlines,-9999,-9999
camo_sem_seg,-9999,-9999
climate_fever,-9999,-9999
covertype,-9999,-9999
europeanflooddepth,-9999,-9999
fiqabeir,-9999,-9999
gnad10,-9999,-9999
ham10000,-9999,-9999
hateful_meme,-9999,-9999
isic2017,-9999,-9999
kick_starter_funding,-9999,-9999
memotion,-9999,-9999
mldoc,-9999,-9999
nn5_daily_without_missing,-9999,-9999
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,0.3528475784478883,18
yolanda,-9999,-9999
