metric,mean,std
abalone_performance,2.36175,0.0
abalone_time_used,2.0,0.0
airbnb_melbourne_performance,0.3136983543154965,0.0
airbnb_melbourne_time_used,16.0,0.0
airlines_performance,0.61194,0.0
airlines_time_used,61.0,0.0
bioresponse_performance,0.7934903260373918,3.2603739169578816e-07
bioresponse_time_used,4.0,0.0
camo_sem_seg_performance,-9999.0,-9999.0
camo_sem_seg_time_used,-9999.0,-9999.0
cd18_performance,-0.6386481840685065,0.9763781840685066
cd18_time_used,2.5,0.5
climate_fever_performance,-9999.0,-9999.0
climate_fever_time_used,-9999.0,-9999.0
covertype_performance,0.95187,0.0
covertype_time_used,99.0,0.0
electricity_hourly_performance,-11.661700401096942,0.0
electricity_hourly_time_used,10.0,0.0
europeanflooddepth_performance,-9999.0,-9999.0
europeanflooddepth_time_used,-9999.0,-9999.0
fiqabeir_performance,-9999.0,-9999.0
fiqabeir_time_used,-9999.0,-9999.0
gnad10_performance,0.7967248318627651,0.105894831862765
gnad10_time_used,159.0,145.0
ham10000_performance,-9999.0,-9999.0
ham10000_time_used,-9999.0,-9999.0
hateful_meme_performance,-9999.0,-9999.0
hateful_meme_time_used,-9999.0,-9999.0
isic2017_performance,-9999.0,-9999.0
isic2017_time_used,-9999.0,-9999.0
kick_starter_funding_performance,-9999.0,-9999.0
kick_starter_funding_time_used,-9999.0,-9999.0
memotion_performance,-9999.0,-9999.0
memotion_time_used,-9999.0,-9999.0
mldoc_performance,-9999.0,-9999.0
mldoc_time_used,-9999.0,-9999.0
nn5_daily_without_missing_performance,-9999.0,-9999.0
nn5_daily_without_missing_time_used,-9999.0,-9999.0
petfinder_performance,0.2700319695225635,0.08422684466307798
petfinder_time_used,8.0,3.265986323710904
road_segmentation_performance,-9999.0,-9999.0
road_segmentation_time_used,-9999.0,-9999.0
rvl_cdip_performance,-9999.0,-9999.0
rvl_cdip_time_used,-9999.0,-9999.0
solar_10_minutes_performance,-9999.0,-9999.0
solar_10_minutes_time_used,-9999.0,-9999.0
women_clothing_review_performance,0.3528475784478883,0.0
women_clothing_review_time_used,18.0,0.0
yolanda_performance,-9999.0,-9999.0
yolanda_time_used,-9999.0,-9999.0
success_rate,0.20000000000000004,0.08640987597877148
success_rate,0.20000000000000004,0.08640987597877148
